word,translation,example,level
die Förderung,"поддержка, содействие; добыча",Die Regierung hat die Förderung erneuerbarer Energien angekündigt.,B2
der Unterricht,"урок, обучение",Der Deutschunterricht beginnt um neun Uhr.,A1
die Farbe,цвет,Welche Farbe gefällt dir am besten für das neue Auto?,A1
seit,с (времени),Seit drei Jahren wohne ich in dieser Stadt.,A1
abbrechen,"прервать, сломать",Wegen des schlechten Wetters mussten wir das Picknick leider abbrechen.,B1
der Familienstand,семейное положение,Auf dem Formular muss man seinen Familienstand angeben.,A1
das Fieber,температура,Seit gestern Abend hat mein Sohn hohes Fieber und fühlt sich unwohl.,A2
backen,печь,Meine Mutter backt am Sonntag immer Kuchen.,A1
die Praxis,практика,"Nach dem Studium absolvierte sie ein Praktikum in einer renommierten Anwaltskanzlei, um praktische Erfahrungen zu sammeln.",B1
die Wien,Вена,Viele Touristen besuchen Wien wegen seiner reichen Geschichte und Kultur.,A1
das Museum,музей,"Wir haben beschlossen, am Wochenende das neue Kunstmuseum zu besuchen.",A1
altmodisch,старомодный,"Diese Musik ist etwas altmodisch, aber sie hat ihren Charme.",A2
der Vermieter,арендодатель,"Der Vermieter hat die Wohnung renoviert, bevor wir eingezogen sind.",A2
die Leute,люди,Viele Leute versammelten sich auf dem Marktplatz.,A1
die Situation,ситуация,"Wir müssen die aktuelle Situation genau analysieren, bevor wir eine Entscheidung treffen.",A2
die Botschaft,"посольство; послание, весть",Die Botschaft des Films ist sehr wichtig für die Gesellschaft.,B1
die Küste,побережье,Wir verbrachten unseren Urlaub an der sonnigen Küste des Mittelmeers.,A2
der Kugelschreiber,шариковая ручка,"Bitte gib mir einen Kugelschreiber, damit ich diese Notiz machen kann.",A1
die Oma,бабушка,Meine Oma backt die besten Kuchen der Welt.,A1
die Marke,"марка, бренд",Diese Marke von Schuhen ist sehr beliebt.,B1
reiten,ездить верхом,"Sie liebt es, auf ihrem Pferd durch die Natur zu reiten.",A2
meistens,большей частью,Meistens esse ich abends zu Hause.,A2
hierher,сюда,Können Sie bitte das Paket hierher bringen?,A2
die Brille,очки,Ich kann ohne meine Brille kaum etwas sehen.,A1
aufpassen,"быть внимательным, присматривать","Du musst aufpassen, dass du nicht stolperst, der Boden ist nass.",A2
der Teller,тарелка,Bitte reichen Sie mir einen sauberen Teller für den Nachtisch.,A1
jemals,когда-либо,Hast du jemals so etwas Schönes gesehen?,B1
die Notaufnahme,отделение неотложной помощи,Nach dem Unfall wurde er sofort in die Notaufnahme des Krankenhauses gebracht.,B1
der Athlet,"атлет, спортсмен",Der junge Athlet trainiert jeden Tag hart für die Olympischen Spiele.,B1
das Schwimmbad,бассейн,"Im Sommer gehen wir oft ins Schwimmbad, um uns abzukühlen.",A1
schmutzig,грязный,Deine Schuhe sind sehr schmutzig.,A1
übermorgen,послезавтра,Ich habe übermorgen einen wichtigen Termin.,A2
das Praktikum,стажировка,Während meines Praktikums konnte ich wertvolle Einblicke in die Arbeitswelt gewinnen.,A2
die Frisur,прическа,"Sie hat sich eine neue, moderne Frisur machen lassen.",A2
die Fortsetzung,продолжение,Die Fortsetzung des Films wird nächstes Jahr erwartet.,B1
danken,благодарить,Ich möchte dir für deine Hilfe danken.,A1
der Mittag,полдень,Am Mittag schien die Sonne sehr stark.,A1
der Ring,кольцо,Er steckte ihr den Ehering an den Finger.,A2
installieren,устанавливать,Wir müssen die neue Software auf allen Computern installieren.,B1
das Radio,радио,"Ich höre gerne Nachrichten im Radio, während ich zur Arbeit fahre.",A1
gestern,вчера,Gestern habe ich einen interessanten Film gesehen.,A1
der Kloß,"клёцка, кнедлик","Oma macht die besten Kartoffelklöße, die ich je gegessen habe.",A2
gespannt,в нетерпении,"Wir sind sehr gespannt, wer das Rennen gewinnen wird.",B1
die Bibliothek,библиотека,"Ich gehe oft in die Bibliothek, um Bücher auszuleihen.",A1
mutig,смелый,"Es war sehr mutig von ihr, vor so vielen Menschen zu sprechen.",A2
das Rind,крупный рогатый скот,Auf der Weide graste eine Herde von Rindern.,A2
die Antwort,ответ,Ich warte noch auf die Antwort auf meine Bewerbung.,A1
die Aussage,"утверждение, показание",Die Aussage des Zeugen war entscheidend für den Prozess.,B1
leidtun,"сожалеть, быть жаль","Es tut mir leid, dass ich zu spät gekommen bin.",A2
dabei,при этом,"Er hat viel gelernt, dabei aber auch viel Zeit investiert.",A2
der Onkel,дядя,Mein Onkel wohnt in einer anderen Stadt und besucht uns selten.,A1
frisch,свежий,Das Brot ist noch ganz frisch.,A2
der Schmerz,боль,Nach dem Sturz spürte er einen stechenden Schmerz im Bein.,A2
der Rentner,пенсионер,Der Rentner genießt seinen Ruhestand und reist viel durch Europa.,A2
organisieren,организовывать,Sie organisiert eine Überraschungsparty für ihren Freund.,B1
stören,мешать,"Bitte störe mich nicht, wenn ich mich auf meine Arbeit konzentriere.",A2
der Knochen,кость,Der Hund spielt glücklich mit seinem neuen Knochen.,B1
das Dokument,документ,Bitte legen Sie Ihr wichtigstes Dokument auf den Tisch.,A2
das Kind,ребенок,Das Kind spielt glücklich mit seinem neuen Spielzeug.,A1
herunterladen,скачать,Ich muss die neue Software von der Webseite herunterladen.,A2
finanzieren,финансировать,Die Stadt wird das neue Projekt durch Steuergelder finanzieren.,B1
der Blutdruck,кровяное давление,"Mein Arzt hat mir geraten, meinen Blutdruck regelmäßig zu kontrollieren.",B1
der Drucker,принтер,Der Drucker im Büro ist leider kaputt.,A2
komplett,"полный, полностью",Das Paket ist komplett angekommen.,B1
der Politiker,политик,Der Politiker hielt eine leidenschaftliche Rede über die Zukunft des Landes.,A2
der Wald,лес,Wir machen am Wochenende einen Spaziergang durch den Wald.,A1
die Kultur,культура,Jedes Land hat seine eigene einzigartige Kultur und Traditionen.,A2
wohnen,жить,Sie wohnen seit vielen Jahren in dieser schönen Stadt.,A1
der Bau,"строительство, здание",Der Bau des neuen Krankenhauses wird voraussichtlich zwei Jahre dauern.,B1
die Kleidung,одежда,Ich muss neue Kleidung für den Winter kaufen.,A1
legen,"класть, положить","Bitte legen Sie das Buch auf den Tisch, damit ich es finden kann.",A2
die Literatur,литература,Sie interessiert sich sehr für die deutsche Literatur des 19. Jahrhunderts.,B1
die Infektion,инфекция,Der Arzt behandelt die Infektion mit Antibiotika.,B1
überall,везде,In der Stadt gibt es jetzt überall Weihnachtsschmuck.,A1
das Licht,свет,Das Licht der Kerze erhellte den dunklen Raum.,A1
jederzeit,в любое время,"Sie können mich jederzeit anrufen, wenn Sie Fragen haben.",A2
der Flohmarkt,блошиный рынок,Am Wochenende besuche ich gerne den Flohmarkt.,A2
der Kakao,какао,An kalten Wintertagen trinke ich gerne eine Tasse heißen Kakao.,A1
deshalb,поэтому,"Er war sehr müde, deshalb ging er früh ins Bett.",A2
das Reisebüro,туристическое агентство,Wir haben unseren Urlaub im Reisebüro gebucht und alle wichtigen Informationen erhalten.,A1
das Apartment,"квартира, апартаменты","Sie sucht ein kleines, möbliertes Apartment in der Nähe der Universität.",A2
entlassen,"увольнять, отпускать",Das Unternehmen musste leider einige Mitarbeiter entlassen.,B2
der Beitrag,"вклад, взнос, статья","Jeder kann einen kleinen Beitrag leisten, um die Umwelt zu schützen.",B1
zeichnen,рисовать,"Die Kinder lieben es, bunte Bilder zu zeichnen.",A2
froh,рад,"Ich bin froh, dich wiederzusehen.",A2
das Gleis,путь (железнодорожный),Der Zug nach Berlin fährt von Gleis 7 ab.,A2
die Straße,улица,"Die Kinder spielen auf der Straße, bis es dunkel wird.",A1
das Fernsehen,телевидение,Am Abend schaue ich gerne ein bisschen Fernsehen.,A1
die Forderung,требование,Die Forderung der Gewerkschaft nach höheren Löhnen wurde erhört.,B2
kleben,клеить,Ich muss diesen Brief mit einer Briefmarke bekleben.,A2
der Lautsprecher,громкоговоритель,Die Musik kam aus einem großen Lautsprecher in der Ecke.,A2
der Tourist,турист,Der Tourist fragte nach dem Weg zum nächsten Museum.,A1
die Grafik,"график, диаграмма",Die Grafik zeigt die Entwicklung der Verkaufszahlen im letzten Quartal.,B1
der Basketball,баскетбол,Er spielt seit vielen Jahren erfolgreich Basketball.,A1
singen,петь,Sie kann sehr schön singen.,A1
die Dauer,продолжительность,Die Dauer des Kurses beträgt drei Wochen.,A2
atmen,дышать,"Versuche tief und ruhig zu atmen, um dich zu entspannen.",A2
der Führerschein,водительские права,Nach bestandener Prüfung hat sie endlich ihren Führerschein bekommen.,A2
höchstens,максимум,Die Wartezeit beträgt höchstens zehn Minuten.,B1
die Fähigkeit,"способность, умение","Seine Fähigkeit, komplexe Probleme zu lösen, ist beeindruckend.",B1
herunterfahren,выключить,"Bitte fahren Sie den Computer herunter, bevor Sie gehen.",B1
das Hackfleisch,фарш,Für die Bolognese Sauce brauchen wir Hackfleisch vom Rind.,A2
sich unterhalten,разговаривать,Wir haben uns lange über unsere Zukunftspläne unterhalten.,B1
das Schwein,свинья,"Auf dem Bauernhof gab es viele Tiere, darunter auch ein paar Schweine.",A2
politisch,политический,Die politische Lage im Land ist angespannt.,B1
der Schuh,ботинок,"Ich habe mir neue Schuhe gekauft, weil meine alten kaputt waren.",A1
strukturieren,структурировать,"Es ist wichtig, die Informationen zu strukturieren, bevor man einen Bericht schreibt.",B2
nachschlagen,"искать (в справочнике, словаре)","Wenn du ein Wort nicht kennst, musst du es im Wörterbuch nachschlagen.",B1
das Modell,модель,Das neue Automodell hat ein sehr futuristisches Design.,A2
die Nadel,игла,Sie nähte den Knopf mit einer Nadel und Faden wieder an ihre Jacke.,A2
die Note,"оценка (в школе), нота",Er hat für seine gute Leistung eine Eins als Note bekommen.,A2
ausgehen,"выходить (гулять), заканчиваться",Am Wochenende gehe ich gerne mit Freunden aus.,A2
das Picknick,пикник,Bei schönem Wetter machen wir gerne ein Picknick im Park.,A1
das Forum,форум,Im Online-Forum diskutieren wir über aktuelle Themen.,B1
der Perron,перрон,Der Zug fährt vom Perron Nummer drei ab.,B1
der Patient,пациент,Der Arzt untersuchte den Patienten gründlich.,A2
der Schalter,переключатель,"Drücken Sie den Schalter, um das Licht einzuschalten.",A2
die Gesellschaft,общество,Die heutige Gesellschaft steht vor vielen Herausforderungen.,B1
der Fahrplan,расписание движения,"Bitte überprüfen Sie den aktuellen Fahrplan, bevor Sie zum Bahnhof gehen.",A2
der Ingenieur,инженер,Der Ingenieur hat einen neuen Plan für die Brücke entworfen.,A2
der Abschnitt,"раздел, участок",Lesen Sie den nächsten Abschnitt des Buches aufmerksam durch.,A2
die Kunst,искусство,Das Museum zeigt eine beeindruckende Sammlung moderner Kunst.,A2
das Märchen,сказка,"Als Kind habe ich es geliebt, Märchen vorgelesen zu bekommen.",A2
die Prüfung,"экзамен, проверка","Die mündliche Prüfung am Ende des Semesters war anspruchsvoll, aber ich habe sie bestanden.",A2
durch,"через, сквозь","Wir müssen durch den Wald gehen, um zum See zu gelangen.",A2
der Job,работа,"Er sucht einen neuen Job, der seinen Fähigkeiten und Interessen entspricht.",A1
der Muskel,мышца,Nach dem Training spüre ich jeden Muskel in meinem Körper.,A2
fallen,падать,"Achtung, die Straße ist glatt und man kann leicht fallen.",A2
der Anrufbeantworter,автоответчик,Ich habe eine Nachricht auf Ihrem Anrufbeantworter hinterlassen.,A2
der Nichtraucher,некурящий,"Als Nichtraucher hat er keine Probleme, in öffentlichen Bereichen zu sein, wo Rauchen verboten ist.",A2
der Kuchen,"торт, пирог",Zum Geburtstag backen wir einen leckeren Schokoladenkuchen.,A1
schwach,слабый,Nach der Krankheit fühlte er sich sehr schwach.,A2
der Kursleiter,инструктор курса,Der Kursleiter erklärte die Grammatikregeln sehr verständlich.,A2
die Person,"человек, персона",Jede Person hat das Recht auf freie Meinungsäußerung.,A1
nämlich,а именно,"Ich habe heute viel zu tun, nämlich E-Mails beantworten und einen Bericht schreiben.",B1
die Schere,ножницы,"Kannst du mir bitte die Schere reichen, ich muss das Papier schneiden.",A2
das Quiz,викторина,Am Abend veranstalten wir ein spannendes Quiz mit verschiedenen Fragen zu Allgemeinwissen.,A2
genießen,наслаждаться,Ich möchte die Ruhe des Gartens in vollen Zügen genießen.,B1
das Institut,институт,Das Forschungsinstitut veröffentlichte neue Ergebnisse zur Klimaerwärmung.,B1
per,"через, посредством",Sie hat die Nachricht per E-Mail erhalten.,B1
weinen,плакать,"Das kleine Kind beginnt zu weinen, weil es seine Mutter vermisst.",A1
der Hunger,голод,Nach der langen Wanderung hatten wir großen Hunger.,A1
schimpfen,"ругаться, браниться",Er schimpft oft über seine Arbeit.,B1
die Angabe,"указание, данные",Bitte machen Sie vollständige Angaben zu Ihrer Person.,B1
die Creme,крем,Ich benutze diese Creme für meine trockene Haut.,A2
die Nachbarin,соседка,"Meine Nachbarin hat mir heute Morgen geholfen, meine schweren Einkaufstaschen zu tragen.",A1
das Einkaufszentrum,торговый центр,Das neue Einkaufszentrum bietet eine große Auswahl an Geschäften und Restaurants.,A2
